date_l,0,1,2,3,4,5,6,7,8,9,sleep_score
21-12-2019,406267.1207,-270.0036524,-267.8375232,10.28405526,-31.59723333,-17.62066598,44.69695587,-18.38234583,2.492780711,-8.659724769,79
22-12-2019,435950.441,-364.5837039,89.70788655,58.79790917,60.35061325,27.83064243,8.240257645,-43.60787288,39.71513254,-2.060246368,78
23-12-2019,336365.9083,-591.4676022,-99.90171661,143.0403073,-32.99366166,24.7396092,78.55416698,14.88405426,-42.71415034,-4.503022497,79
24-12-2019,45955.16702,-184.6119815,342.7796175,105.8874842,-54.38561788,92.37650661,19.66505729,29.87234218,-0.985227034,-23.18125024,71
25-12-2019,-77842.67387,-115.5776491,-35.41033033,90.7210555,96.9481022,80.58154463,4.136677519,-55.29224597,-12.68754733,13.12756099,82
26-12-2019,408777.3488,579.1424121,341.474737,89.41419164,41.04428577,-29.26748404,-29.79159786,-41.25841391,-18.89139116,-12.88993972,78
27-12-2019,-208429.9978,-39.41285936,81.84765384,157.0735892,-58.4921621,44.8590867,41.61105078,-5.700198902,-3.52409723,21.36354188,78
28-12-2019,-26548.20645,-174.5484994,287.9161835,197.7742487,-26.07309603,42.51138967,0.627409708,20.58288168,-38.19047267,-6.31688482,75
29-12-2019,68782.98018,-278.0390793,186.9031114,106.7133298,30.29770641,-33.29632885,8.782511431,-42.96058854,-3.944241153,13.26989733,74
30-12-2019,-205798.177,-8.821665525,-154.2392989,-76.66474908,99.38827469,186.0401895,8.69220103,10.09720268,-28.15796992,7.850851705,65
31-12-2019,-102185.6456,-97.61081101,50.12501639,77.76278457,-88.90465324,77.88678066,15.6197701,33.78683197,-7.680776462,19.6467647,78
01-01-2020,-75399.20032,-134.2742776,78.73695171,33.36665238,-61.89400032,26.49777605,12.27346754,22.10691212,21.32888762,5.353795612,75
02-01-2020,-201668.5505,-127.0825419,-151.2433175,240.8200866,28.2113809,-7.595139608,26.03555787,-59.11396988,-8.167034591,20.06796884,88
03-01-2020,433568.2276,392.2085548,-260.0560535,11.5368741,-56.09612922,-48.1553512,37.62414664,-13.82356585,-14.27959092,5.704496233,73
04-01-2020,387819.6974,1075.205417,16.22546259,197.0900685,9.172938706,-6.463507344,-47.7654257,-58.75525599,-46.82631845,-24.1174784,78
05-01-2020,-106208.269,-74.35507958,-57.49921996,157.6203939,-33.99935566,32.29423815,10.72373094,-36.5415739,-12.19220635,-0.978677656,69
06-01-2020,-115950.9653,-64.19854783,-228.4845515,245.7899551,246.2496132,-111.8455492,-49.2057888,92.30189101,2.454638687,15.27721229,72
07-01-2020,456419.4576,449.7915863,-13.1278433,-108.5501995,-24.74972784,-63.96022838,120.8612027,41.10651063,4.171982758,-19.46832962,66
08-01-2020,-370467.7979,63.77860807,-52.80136166,-48.52887654,-59.59207131,-69.08812968,-18.5880447,-19.2627242,1.390140425,-21.90634057,69
09-01-2020,36899.02033,-126.0077538,92.16378433,-70.60347381,37.47786681,-119.5876649,6.32566411,-37.89903053,-6.644104115,11.97780616,67
10-01-2020,84421.73073,-82.79821476,-198.2836296,-51.62638762,-58.73861286,-62.36870431,1.676445988,-11.26975433,7.644767609,5.898849168,71
11-01-2020,75652.30934,-199.9430569,-245.7635945,211.1781963,-2.712357609,30.28853052,74.98466032,-43.41133267,-7.541377146,-50.85910843,80
12-01-2020,-316362.7665,37.57071956,-168.2596554,108.8119903,-50.86011709,0.677987555,2.688457254,-41.62487862,-5.821313583,-29.06253568,72
13-01-2020,-337225.7718,28.28180768,198.4295686,-213.2152944,164.3365687,15.54978807,1.495983041,-32.87557488,62.88423361,10.10147304,68
14-01-2020,501680.9925,900.8764407,-174.6068193,-15.77046719,-6.402863357,29.7987312,-73.66881347,-27.98259505,-10.40522784,-11.39601339,75
15-01-2020,113584.6114,-151.0625298,-189.1586772,34.51006108,-54.99530464,-40.93777641,28.8214696,-2.691833896,-4.656229794,-7.930908498,78
16-01-2020,93253.68787,-163.5573901,277.4624444,-102.4780398,68.89914194,-182.443111,-26.12986149,-24.83159642,-54.44024214,5.505601027,73
17-01-2020,-23948.21874,-157.2674614,-83.87757279,-2.211063889,-63.02579217,-13.43592703,2.226679419,9.728495061,-2.740521089,34.62096588,73
18-01-2020,200760.7557,1542.543392,72.94200803,-38.11588148,-55.93695099,9.656749485,-31.00095347,-20.10638951,23.1101305,12.752535,66
