0,1,2,3,4,5,6,7,8,9,sleep_score
-294696.0,-307.64444,-162.85042,83.600494,-48.291626,-40.085068,-55.745018,-41.630226,-16.053509,2.2304688,77.26971
-360526.03,-410.08008,-252.15392,130.3688,-97.18555,40.242493,-80.73174,-51.713245,-29.892975,18.119469,79.1216
-236044.69,-142.9082,-87.95181,192.78299,-14.46521,106.73122,-38.67209,-14.025627,-11.753841,-3.7289314,72.6685
336702.5,406.98596,212.36075,-76.5069,137.9666,6.741516,62.768974,41.362976,19.057987,-13.347897,65.08525
-110046.875,-244.84897,-125.06418,-30.512512,-48.13437,-59.46286,-46.358177,-29.618462,-12.617455,11.050476,75.40069
-43908.875,199.1698,160.33023,-18.875275,66.20561,-1.9838104,18.693596,-7.3323517,-1.9378014,8.180386,66.12294
-302345.47,-130.19876,-42.727936,101.41226,6.8736267,-25.295166,-14.084885,-32.777786,-11.320919,16.944397,70.84266
296058.88,262.28625,115.75961,-89.47632,97.39552,7.399887,37.89428,39.583374,17.450703,-13.374199,68.18959
82124.875,-160.56915,-85.1228,-62.200134,-2.4109955,-14.329132,-22.686882,5.437523,2.410225,-7.890232,75.2321
-21156.562,-142.57938,-134.5856,-20.216492,-13.720497,8.363937,-24.846321,1.8983994,-1.9147148,-1.4552612,75.01988
293785.75,-107.25775,-70.33829,-134.80182,-9.39798,-30.261826,-19.572548,20.615967,7.3631325,-9.29686,74.21814
134629.62,89.66962,-18.826721,-43.152313,48.65921,-21.17749,31.34298,21.551987,9.167912,1.4847755,68.94648
287794.8,264.32568,130.51755,-72.8168,120.37491,15.342514,53.08213,38.473557,18.05058,-15.439419,66.72127
-301803.88,-275.38254,-120.440735,154.15933,-52.182945,38.680405,-58.083477,-41.00805,-19.645538,3.157051,75.14853
-49222.625,-79.54266,-122.68356,42.98886,-13.681709,-2.5850372,-12.462685,1.070755,0.71421814,4.6175117,71.61913
-487344.62,-457.87677,-236.35764,48.035004,-104.60815,-130.0654,-84.82351,-82.713936,-36.899956,37.850372,78.93299
-69023.56,-256.18774,-236.70682,118.74942,-42.812973,46.024323,-39.040657,11.121719,0.99388504,-13.85125,77.98554
5149.5625,-103.3981,-75.26196,38.932617,15.900131,63.441605,-20.77005,11.950363,2.862751,-15.016556,73.6857
-287198.38,-146.30038,23.647278,-59.919952,-21.133423,-107.31161,-38.916412,-54.285057,-19.570621,23.536934,70.98995
189711.06,153.52374,81.204865,-21.053833,68.74771,87.22151,5.501396,30.616562,7.7859917,-20.651964,69.01948
-98895.69,-90.65442,-9.929047,3.8363342,6.1324463,-38.819458,-8.33709,-18.508476,-5.69302,12.141415,71.68474
-48044.0,-42.850708,48.311005,-77.68976,28.933838,-97.49632,4.170532,-20.187195,-1.1257858,13.601807,70.66331
165723.38,280.06097,161.7302,-85.26004,142.72533,-79.58694,71.87762,19.392212,18.529087,-1.227375,65.92973
-40015.25,91.67413,207.61624,-112.52695,44.768707,-122.70657,21.068779,-27.458725,-2.8816795,19.964523,65.458084
